stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2953,,Jonučiai,,54.83605,23.87697,https://www.stops.lt/kaunas/index.html#stop/675,,
2950,,Ramybės g.,,54.84128,23.87866,https://www.stops.lt/kaunas/index.html#stop/672,,
2951,,Ramybės g.,,54.84266,23.87947,https://www.stops.lt/kaunas/index.html#stop/673,,
2957,,Tulpių g.,,54.82757,23.87355,https://www.stops.lt/kaunas/index.html#stop/679,,
2958,,Tulpių g.,,54.82810,23.87402,https://www.stops.lt/kaunas/index.html#stop/680,,
2954,,Vienybės g.,,54.83320,23.87587,https://www.stops.lt/kaunas/index.html#stop/676,,
2955,,Vienybės g.,,54.83205,23.87522,https://www.stops.lt/kaunas/index.html#stop/677,,
14637,,Autobusų stotis,,54.88906,23.92724,https://www.stops.lt/kaunas/index.html#stop/1005,,
14636,,Kęstučio g.,,54.89549,23.92514,https://www.stops.lt/kaunas/index.html#stop/1004,,
2937,,Sodininkų bendrija „Kaspinas“,,54.87823,24.07779,https://www.stops.lt/kaunas/index.html#stop/659,,
2938,,Sodininkų bendrija „Kaspinas“,,54.87977,24.07924,https://www.stops.lt/kaunas/index.html#stop/660,,
2935,,Sodininkų bendrija „Šaltinis“,,54.87493,24.07367,https://www.stops.lt/kaunas/index.html#stop/657,,
2936,,Sodininkų bendrija „Šaltinis“,,54.87463,24.07305,https://www.stops.lt/kaunas/index.html#stop/658,,
2939,,Žiegždriai,,54.88564,24.09141,https://www.stops.lt/kaunas/index.html#stop/661,,
15804,,2-ieji Rokai,,54.82512,23.94879,https://www.stops.lt/kaunas/index.html#stop/887,,
15826,,2-ieji Rokai,,54.82605,23.94892,https://www.stops.lt/kaunas/index.html#stop/896,,
16015,,Balio Buračo gimnazija,,54.97144,24.06775,https://www.stops.lt/kaunas/index.html#stop/905,,
16013,,Gėlių g.,,54.89010,23.80539,https://www.stops.lt/kaunas/index.html#stop/903,,
16014,,Gėlių g.,,54.88994,23.80506,https://www.stops.lt/kaunas/index.html#stop/904,,
15813,,Girmuonys,,54.77554,23.95667,https://www.stops.lt/kaunas/index.html#stop/891,,
15816,,Girmuonys,,54.77606,23.95671,https://www.stops.lt/kaunas/index.html#stop/892,,
15806,,Paraželiai,,54.81327,23.95708,https://www.stops.lt/kaunas/index.html#stop/888,,
15824,,Paraželiai,,54.81726,23.95778,https://www.stops.lt/kaunas/index.html#stop/895,,
15877,,Rasos g.,,54.97643,24.07900,https://www.stops.lt/kaunas/index.html#stop/899,,
15808,,Raželiai,,54.80287,23.96000,https://www.stops.lt/kaunas/index.html#stop/889,,
15822,,Raželiai,,54.80751,23.95680,https://www.stops.lt/kaunas/index.html#stop/894,,
16081,,Šiaurės pr.,,54.92969,23.92728,https://www.stops.lt/kaunas/index.html#stop/515a,,
15811,,Vainatrakis,,54.78878,23.96423,https://www.stops.lt/kaunas/index.html#stop/890,,
15820,,Vainatrakis,,54.79221,23.96546,https://www.stops.lt/kaunas/index.html#stop/893,,
16058,,Alyvų g.,,54.85824,23.90981,https://www.stops.lt/kaunas/index.html#stop/907,,
15747,,Lygioji g.,,54.87227,23.89819,https://www.stops.lt/kaunas/index.html#stop/883,,
15748,,Lygioji g.,,54.87264,23.89774,https://www.stops.lt/kaunas/index.html#stop/884,,
15732,,Prezidento V.Adamkaus gimnazija,,54.86625,23.90061,https://www.stops.lt/kaunas/index.html#stop/876,,
16067,,Žiedų g.,,54.86616,23.90047,https://www.stops.lt/kaunas/index.html#stop/876a,,
15855,,Prancūzų g.,,54.89387,23.95573,https://www.stops.lt/kaunas/index.html#stop/414a,,
15701,,Chemijos g.,,54.89997,23.99941,https://www.stops.lt/kaunas/index.html#stop/873,,
15764,,Svirplių takas,,54.89591,24.00584,https://www.stops.lt/kaunas/index.html#stop/885,,
15771,,Svirplių takas,,54.89551,24.00806,https://www.stops.lt/kaunas/index.html#stop/872a,,
15839,,Amalė,,54.91289,24.01823,https://www.stops.lt/kaunas/index.html#stop/897,,
15840,,Amalė,,54.91292,24.01892,https://www.stops.lt/kaunas/index.html#stop/898,,
15741,,Jonučių g.,,54.85833,23.87187,https://www.stops.lt/kaunas/index.html#stop/877,,
15745,,Mokolų g.,,54.86434,23.87181,https://www.stops.lt/kaunas/index.html#stop/881,,
15746,,Mokolų g.,,54.86428,23.87181,https://www.stops.lt/kaunas/index.html#stop/882,,
15975,,Aluonos g.,,54.94577,23.82873,https://www.stops.lt/kaunas/index.html#stop/900,,
15982,,1-ojo forto g.,,54.88431,23.86666,https://www.stops.lt/kaunas/index.html#stop/901,,
15983,,1-ojo forto g.,,54.88424,23.86654,https://www.stops.lt/kaunas/index.html#stop/902,,
16062,,J. Pabrėžos g.,,54.86516,23.91035,https://www.stops.lt/kaunas/index.html#stop/157a,,
15743,,Tirkiliškių g.,,54.86110,23.86957,https://www.stops.lt/kaunas/index.html#stop/879,,
15744,,Tirkiliškių g.,,54.86124,23.86951,https://www.stops.lt/kaunas/index.html#stop/880,,
2662,,Breslaujos g.,,54.89657,23.95646,https://www.stops.lt/kaunas/index.html#stop/371,,
14320,,Breslaujos g.,,54.89694,23.95655,https://www.stops.lt/kaunas/index.html#stop/753,,
2656,,6-asis fortas,,54.90116,23.97222,https://www.stops.lt/kaunas/index.html#stop/365,,
2657,,6-asis fortas,,54.90136,23.97268,https://www.stops.lt/kaunas/index.html#stop/366,,
2660,,Breslaujos g.,,54.89817,23.95763,https://www.stops.lt/kaunas/index.html#stop/369,,
2661,,Breslaujos g.,,54.89786,23.95726,https://www.stops.lt/kaunas/index.html#stop/370,,
2658,,Pašilės g.,,54.90067,23.96670,https://www.stops.lt/kaunas/index.html#stop/367,,
2659,,Pašilės g.,,54.90088,23.96659,https://www.stops.lt/kaunas/index.html#stop/368,,
2688,,Karių kapinės,,54.88025,23.94876,https://www.stops.lt/kaunas/index.html#stop/407,,
2689,,Karių kapinės,,54.87915,23.94895,https://www.stops.lt/kaunas/index.html#stop/408,,
2697,,Alsėdžių g.,,54.89073,23.94780,https://www.stops.lt/kaunas/index.html#stop/416,,
14425,,Alsėdžių g.,,54.89148,23.94973,https://www.stops.lt/kaunas/index.html#stop/767,,
2696,,Ašmenos g.,,54.89025,23.94607,https://www.stops.lt/kaunas/index.html#stop/415,,
2698,,Jašiūnų g.,,54.88735,23.94027,https://www.stops.lt/kaunas/index.html#stop/417,,
2695,,Kaišiadorių g.,,54.89284,23.95365,https://www.stops.lt/kaunas/index.html#stop/414,,
2687,,Respublikinė Kauno ligoninė,,54.87864,23.94550,https://www.stops.lt/kaunas/index.html#stop/406,,
14550,,Ašmenos 1-oji g.,,54.88244,23.94926,https://www.stops.lt/kaunas/index.html#stop/777,,
14551,,Ašmenos 1-oji g.,,54.88268,23.94926,https://www.stops.lt/kaunas/index.html#stop/778,,
2692,,Prancūzų g.,,54.89213,23.95458,https://www.stops.lt/kaunas/index.html#stop/411,,
2693,,Prancūzų g.,,54.89227,23.95444,https://www.stops.lt/kaunas/index.html#stop/412,,
2694,,Verkių g.,,54.89288,23.95409,https://www.stops.lt/kaunas/index.html#stop/413,,
2690,,Žarėnų g.,,54.88643,23.95273,https://www.stops.lt/kaunas/index.html#stop/409,,
2691,,Žarėnų g.,,54.88529,23.95147,https://www.stops.lt/kaunas/index.html#stop/410,,
14919,,Europos pr.,,54.87483,23.89261,https://www.stops.lt/kaunas/index.html#stop/83,,
5099,,Bitininkų g.,,54.87512,23.89411,https://www.stops.lt/kaunas/index.html#stop/706,,
5100,,Bitininkų g.,,54.87518,23.89834,https://www.stops.lt/kaunas/index.html#stop/707,,
2478,,Freda,,54.87516,23.91415,https://www.stops.lt/kaunas/index.html#stop/772,,
14542,,M. K. Čiurlionio tiltas,,54.88033,23.92190,https://www.stops.lt/kaunas/index.html#stop/774,,
14543,,M. K. Čiurlionio tiltas,,54.88046,23.92238,https://www.stops.lt/kaunas/index.html#stop/775,,
14546,,M.K.Čiurlionio tiltas,,54.87982,23.92294,https://www.stops.lt/kaunas/index.html#stop/776,,
4926,,Ž. E. Žilibero g.,,54.87560,23.90230,https://www.stops.lt/kaunas/index.html#stop/233,,
4927,,Ž. E. Žilibero g.,,54.87529,23.90494,https://www.stops.lt/kaunas/index.html#stop/232,,
2948,,K. Dulksnio g.,,54.84722,23.88082,https://www.stops.lt/kaunas/index.html#stop/670,,
2949,,K. Dulksnio g.,,54.84788,23.88134,https://www.stops.lt/kaunas/index.html#stop/671,,
2486,,Aleksoto gelžbetonis,,54.88367,23.91715,https://www.stops.lt/kaunas/index.html#stop/172,,
2487,,Aleksoto gelžbetonis,,54.88390,23.91703,https://www.stops.lt/kaunas/index.html#stop/173,,
2484,,Elevatorius,,54.88557,23.91317,https://www.stops.lt/kaunas/index.html#stop/170,,
2485,,Elevatorius,,54.88589,23.91177,https://www.stops.lt/kaunas/index.html#stop/171,,
2480,,H. ir O. Minkovskių g.,,54.89121,23.89743,https://www.stops.lt/kaunas/index.html#stop/166,,
2481,,H. ir O. Minkovskių g.,,54.89130,23.89683,https://www.stops.lt/kaunas/index.html#stop/167,,
2488,,M. K. Čiurlionio tiltas,,54.88149,23.92264,https://www.stops.lt/kaunas/index.html#stop/174,,
2489,,M. K. Čiurlionio tiltas,,54.88166,23.92161,https://www.stops.lt/kaunas/index.html#stop/175,,
2482,,Malūnas,,54.88908,23.90294,https://www.stops.lt/kaunas/index.html#stop/168,,
2483,,Malūnas,,54.88848,23.90413,https://www.stops.lt/kaunas/index.html#stop/169,,
2436,,Veiverių g.,,54.89265,23.89208,https://www.stops.lt/kaunas/index.html#stop/115,,
5113,,Veiverių g.,,54.89250,23.89232,https://www.stops.lt/kaunas/index.html#stop/720,,
2493,,Freda,,54.87114,23.92503,https://www.stops.lt/kaunas/index.html#stop/179,,
2494,,Freda,,54.87087,23.92488,https://www.stops.lt/kaunas/index.html#stop/180,,
2495,,Geležinkelio pervaža,,54.86390,23.92567,https://www.stops.lt/kaunas/index.html#stop/181,,
2496,,Geležinkelio pervaža,,54.86366,23.92556,https://www.stops.lt/kaunas/index.html#stop/182,,
2499,,Jiesia,,54.85844,23.92915,https://www.stops.lt/kaunas/index.html#stop/189,,
2500,,Jiesia,,54.85870,23.92859,https://www.stops.lt/kaunas/index.html#stop/190,,
2490,,Piliakalnio g.,,54.87439,23.92432,https://www.stops.lt/kaunas/index.html#stop/176,,
2491,,Piliakalnio g.,,54.87535,23.92329,https://www.stops.lt/kaunas/index.html#stop/177,,
2465,,2-asis fortas,,54.85716,23.88514,https://www.stops.lt/kaunas/index.html#stop/147,,
2947,,2-asis fortas,,54.85598,23.88418,https://www.stops.lt/kaunas/index.html#stop/669,,
2450,,Aleksoto poliklinika,,54.88599,23.89561,https://www.stops.lt/kaunas/index.html#stop/131,,
2451,,Aleksoto poliklinika,,54.88512,23.89505,https://www.stops.lt/kaunas/index.html#stop/132,,
2452,,Europos pr.,,54.87558,23.89179,https://www.stops.lt/kaunas/index.html#stop/133,,
2453,,Europos pr.,,54.87439,23.89101,https://www.stops.lt/kaunas/index.html#stop/134,,
2456,,Julijanavos g.,,54.86987,23.88961,https://www.stops.lt/kaunas/index.html#stop/137,,
2457,,Julijanavos g.,,54.86820,23.88869,https://www.stops.lt/kaunas/index.html#stop/138,,
2463,,Lazdijų g.,,54.86373,23.88729,https://www.stops.lt/kaunas/index.html#stop/145,,
