2,M-380,23790830,55102080,96,312,111,
2,2,23978115,54015398,6,108,189,
2,4,24000267,54020051,0,202,262,
2,2,23975526,54014861,2,360,263,
2,M-361,25254243,54666518,24,150,412,
2,M-281,23889893,54915157,38,272,422,
2,M-902,25047802,54572323,89,40,424,
2,M-323,21127066,55566403,54,184,430,
2,M-329,23924534,54890401,13,44,450,
2,M-321,22792449,56151559,0,0,458,
2,M-301,23687331,54950130,84,82,459,
2,4,23970755,54017517,31,114,46,
2,M-351,23937509,54876362,12,62,460,
2,M-368,24813022,54773819,70,294,461,
2,M-368,23928256,54890205,1,0,462,
2,M-310,21195355,55715092,96,160,482,
2,M-322,23746073,55760846,54,136,483,
2,M-878,23860420,54811110,89,240,486,
2,33,24320632,57032200,61,348,71,
2,M-361,24857329,55097895,97,340,76,
2,M-362,21138319,55719462,0,0,78,
4,53,23947510,54829505,0,174,801,
4,57,23896378,54896632,0,302,802,
4,54,23894672,54914925,53,96,803,
4,57,23888608,54913008,51,172,804,
4,57,23929442,54887692,15,138,805,
4,57,23978217,54903887,0,160,806,
4,57,23890610,54936167,41,94,807,
4,54,23959247,54866297,12,38,809,
4,57,23985145,54913312,0,200,810,
4,53,23929983,54907600,36,146,811,
4,51,23891783,54876153,54,12,812,
4,53,23930067,54887423,18,312,814,
4,56,24098230,54929925,31,190,815,
4,55,23859373,54915602,0,2,817,
4,55,23867052,54915755,46,86,818,
4,55,23928520,54928923,0,242,820,
4,55,24058147,54914618,0,142,822,
4,57,23980533,54923455,38,52,824,
4,54,23950602,54918493,0,54,826,
4,55,23941028,54931375,13,94,827,
4,52,23958615,54861972,0,150,829,
4,54,23901945,54941982,7,20,830,
4,55,23893160,54930223,46,126,831,
4,53,23951102,54853662,52,266,832,
4,51,23924548,54913145,18,344,833,
4,54,23954305,54893005,17,240,835,
4,54,23970375,54919380,30,230,836,
4,57,23967463,54901020,42,254,837,
2,5,23987286,54003181,0,320,84,
4,52,24043908,54843600,0,66,842,
4,52,23859372,54915730,0,360,844,
4,56,23825385,54894900,4,326,845,
4,52,23831893,54924892,47,266,847,
4,56,24076152,54920677,0,96,848,
4,51,23926078,54910682,45,142,849,
2,5,12617284,55640432,0,0,85,
4,56,24019282,54900187,43,32,850,
4,54,23888587,54929030,39,336,851,
4,53,23948348,54931375,0,272,852,
4,56,23832837,54891637,37,100,853,
4,55,24058240,54914620,4,10,854,
4,53,23973717,54927097,0,138,855,
4,56,23930582,54887070,14,318,856,
4,52,23935520,54878440,0,140,857,
4,53,23947538,54829522,0,256,858,
4,51,23863462,54859607,41,54,859,
4,54,23899405,54939085,2,200,861,
4,52,23860255,54923323,52,136,862,
4,54,23939613,54870550,33,312,863,
4,52,23932550,54879267,38,322,864,
4,53,23948192,54838712,0,80,865,
4,56,24034983,54912862,19,208,867,
4,53,23921078,54917330,10,328,868,
4,52,23879232,54920075,32,232,869,
4,55,23888903,54914993,38,74,871,
4,56,23926432,54889567,37,140,872,
4,52,24002833,54863840,48,316,873,
4,52,23896570,54896557,0,288,874,
4,55,23987003,54917920,7,244,875,
4,57,23891848,54925037,55,336,876,
4,54,23897885,54952930,0,316,877,
4,51,23997710,54916357,0,180,878,
4,51,23984167,54925002,8,244,879,
4,51,23990738,54930323,56,282,880,
4,57,23997877,54916427,1,358,881,
4,52,23917303,54898893,0,96,884,
4,54,23973892,54904460,32,0,885,
4,57,23997615,54916337,0,216,886,
2,1,24012770,54024870,13,180,95,
2,1,23971314,54021594,0,0,98,
2,6,23979846,54008115,50,332,99,
